entry,name,ItemLevel,RequiredLevel,Quality,InventoryType,class,subclass,stat_type1,stat_value1,stat_type2,stat_value2,stat_type3,stat_value3,stat_type4,stat_value4,stat_type5,stat_value5,stat_type6,stat_value6,stat_type7,stat_value7,stat_type8,stat_value8,stat_type9,stat_value9,stat_type10,stat_value10
2051259,Sanctified Crimson Acolyte Raiments,377,85,4,20,4,1,45,302,7,215,5,215,32,176,36,176,0,0,0,0,0,0,0,0,0,0
2051177,Sanctified Crimson Acolyte Leggings,364,85,4,7,4,1,45,265,7,190,5,190,6,167,36,142,0,0,0,0,0,0,0,0,0,0
2051279,Sanctified Lightsworn Shoulderplates,377,85,4,3,4,4,4,227,7,240,32,139,36,127,0,0,0,0,0,0,0,0,0,0,0,0
2051267,Sanctified Lightsworn Handguards,377,85,4,10,4,4,4,159,7,297,12,139,31,106,0,0,0,0,0,0,0,0,0,0,0,0
2051135,Sanctified Lasherweave Pauldrons,364,85,4,3,4,2,45,204,7,142,5,142,6,124,32,111,0,0,0,0,0,0,0,0,0,0
2051198,Sanctified Frost Witch's War-Kilt,364,85,4,7,4,3,38,285,3,251,7,198,5,131,32,155,31,119,0,0,0,0,0,0,0,0
2051208,Sanctified Dark Coven Hood,364,85,4,1,4,1,45,251,7,190,5,190,32,155,36,142,0,0,0,0,0,0,0,0,0,0
2051205,Sanctified Dark Coven Shoulderpads,364,85,4,3,4,1,45,204,7,142,5,142,32,124,36,111,0,0,0,0,0,0,0,0,0,0
2051132,Sanctified Scourgelord Handguards,364,85,4,10,4,4,4,142,7,261,12,124,31,94,0,0,0,0,0,0,0,0,0,0,0,0
2051289,Sanctified Ahn'Kahar Blood Hunter's Tunic,377,85,4,5,4,3,38,328,3,283,7,223,5,148,32,176,44,136,0,0,0,0,0,0,0,0
2051272,Sanctified Lightsworn Headpiece,377,85,4,1,4,4,45,288,7,215,5,215,32,176,36,164,0,0,0,0,0,0,0,0,0,0
2050981,Gloves of the Great Horned Owl,364,85,4,10,4,2,45,204,7,142,5,142,32,124,36,111,0,0,0,0,0,0,0,0,0,0
2051137,Sanctified Lasherweave Helmet,364,85,4,1,4,2,45,251,7,190,5,190,6,155,32,142,0,0,0,0,0,0,0,0,0,0
2050975,Ermine Coronation Robes,364,85,4,20,4,1,45,251,7,190,5,190,6,130,32,167,0,0,0,0,0,0,0,0,0,0
2051298,Sanctified Lasherweave Raiment,377,85,4,20,4,2,38,328,3,283,7,283,32,189,44,164,0,0,0,0,0,0,0,0,0,0
2051263,Sanctified Crimson Acolyte Robe,377,85,4,20,4,1,45,302,7,215,5,215,6,176,32,176,0,0,0,0,0,0,0,0,0,0
2050470,Recovered Scarlet Onslaught Cape,364,85,4,16,4,1,38,162,3,139,7,139,32,93,44,80,0,0,0,0,0,0,0,0,0,0
2051291,Sanctified Lasherweave Gloves,377,85,4,10,4,2,45,232,7,159,5,159,32,139,31,127,0,0,0,0,0,0,0,0,0,0
2051275,Sanctified Lightsworn Battleplate,377,85,4,5,4,4,4,299,7,323,32,189,36,164,0,0,0,0,0,0,0,0,0,0,0,0
2051229,Sanctified Ymirjar Lord's Shoulderplates,377,85,4,3,4,4,4,227,7,240,32,139,44,127,0,0,0,0,0,0,0,0,0,0,0,0
2051210,Sanctified Ymirjar Lord's Shoulderplates,364,85,4,3,4,4,4,199,7,212,32,124,44,111,0,0,0,0,0,0,0,0,0,0,0,0
2051226,Sanctified Ymirjar Lord's Gauntlets,377,85,4,10,4,4,4,227,7,240,32,139,31,127,0,0,0,0,0,0,0,0,0,0,0,0
2050461,Libram of the Eternal Tower,364,85,4,28,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051225,Sanctified Ymirjar Lord's Battleplate,377,85,4,5,4,4,4,299,7,323,32,189,44,164,0,0,0,0,0,0,0,0,0,0,0,0
2051199,Sanctified Frost Witch's Shoulderguards,364,85,4,3,4,3,38,224,3,186,7,147,5,97,32,124,36,85,0,0,0,0,0,0,0,0
2050968,Cataclysmic Chestguard,364,85,4,5,4,4,4,190,7,320,12,167,37,127,0,0,0,0,0,0,0,0,0,0,0,0
2050469,Volde's Cloak of the Night Sky,364,85,4,16,4,1,45,150,7,106,5,106,6,93,32,80,0,0,0,0,0,0,0,0,0,0
2051125,Sanctified Scourgelord Shoulderplates,364,85,4,3,4,4,4,199,7,212,32,124,44,111,0,0,0,0,0,0,0,0,0,0,0,0
2051173,Sanctified Lightsworn Faceguard,364,85,4,1,4,4,4,251,7,327,12,131,13,106,14,119,0,0,0,0,0,0,0,0,0,0
2051224,Sanctified Ymirjar Lord's Pauldrons,377,85,4,3,4,4,4,210,7,297,12,110,13,97,14,110,0,0,0,0,0,0,0,0,0,0
2051187,Sanctified Shadowblade Helmet,364,85,4,1,4,2,38,260,3,251,7,251,32,155,44,142,0,0,0,0,0,0,0,0,0,0
2050978,Gauntlets of the Kraken,364,85,4,10,4,4,4,186,7,243,12,97,14,74,0,0,0,0,0,0,0,0,0,0,0,0
2051251,Sanctified Shadowblade Gauntlets,377,85,4,10,4,2,38,255,3,210,7,210,32,139,36,127,0,0,0,0,0,0,0,0,0,0
2051271,Sanctified Lightsworn Greaves,377,85,4,7,4,4,45,302,7,215,5,215,32,189,43,82,0,0,0,0,0,0,0,0,0,0
2051155,Sanctified Bloodmage Shoulderpads,364,85,4,3,4,1,45,204,7,142,5,142,32,124,36,111,0,0,0,0,0,0,0,0,0,0
2051266,Sanctified Lightsworn Faceguard,377,85,4,1,4,4,4,283,7,376,12,148,13,124,14,136,0,0,0,0,0,0,0,0,0,0
2051274,Sanctified Lightsworn Tunic,377,85,4,5,4,4,45,302,7,215,5,215,32,189,36,164,0,0,0,0,0,0,0,0,0,0
2051260,Sanctified Crimson Acolyte Gloves,377,85,4,10,4,1,45,232,7,159,5,159,6,139,36,127,0,0,0,0,0,0,0,0,0,0
2050468,Drape of the Violet Tower,364,85,4,16,4,1,45,150,7,106,5,106,32,80,43,46,0,0,0,0,0,0,0,0,0,0
2050993,Band of the Night Raven,364,85,4,6,4,3,38,249,3,161,7,147,5,97,32,124,31,72,0,0,0,0,0,0,0,0
2051146,Sanctified Lasherweave Trousers,364,85,4,7,4,2,45,265,7,190,5,190,32,167,31,142,0,0,0,0,0,0,0,0,0,0
2051227,Sanctified Ymirjar Lord's Helmet,377,85,4,1,4,4,4,286,7,323,32,176,44,164,0,0,0,0,0,0,0,0,0,0,0,0
2051302,Sanctified Lasherweave Helmet,377,85,4,1,4,2,45,288,7,215,5,215,6,176,32,164,0,0,0,0,0,0,0,0,0,0
2051223,Sanctified Ymirjar Lord's Legguards,377,85,4,7,4,4,4,215,7,389,12,164,13,189,37,144,0,0,0,0,0,0,0,0,0,0
2050996,Belt of Omission,364,85,4,6,4,1,45,189,7,142,5,142,32,124,31,99,0,0,0,0,0,0,0,0,0,0
2051297,Sanctified Lasherweave Legguards,377,85,4,7,4,2,38,328,3,283,7,283,44,189,37,164,0,0,0,0,0,0,0,0,0,0
2051126,Sanctified Scourgelord Legplates,364,85,4,7,4,4,4,261,7,286,32,167,37,142,0,0,0,0,0,0,0,0,0,0,0,0
