entry,name,ItemLevel,RequiredLevel,Quality,InventoryType,class,subclass,stat_type1,stat_value1,stat_type2,stat_value2,stat_type3,stat_value3,stat_type4,stat_value4,stat_type5,stat_value5,stat_type6,stat_value6,stat_type7,stat_value7,stat_type8,stat_value8,stat_type9,stat_value9,stat_type10,stat_value10
2039579,Heroes' Cryptstalker Tunic,300,80,4,5,4,3,3,93,7,117,5,62,36,79,31,62,0,0,0,0,0,0,0,0,0,0
2040571,Valorous Redemption Headpiece,313,80,4,1,4,4,7,116,5,119,32,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045212,Staff of Feral Furies,300,80,4,17,2,10,38,207,3,159,7,151,32,80,0,0,0,0,0,0,0,0,0,0,0,0
2039557,Heroes' Dreamwalker Handgrips,300,80,4,10,4,2,3,77,7,102,32,68,36,51,0,0,0,0,0,0,0,0,0,0,0,0
2039555,Heroes' Dreamwalker Legguards,300,80,4,7,4,2,3,113,7,139,32,79,37,57,0,0,0,0,0,0,0,0,0,0,0,0
2040512,Valorous Earthshatter Legguards,313,80,4,7,4,3,7,153,5,119,36,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039757,Idol of Worship,313,80,4,28,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040684,Mirror of Truth,300,80,4,12,4,0,32,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039578,Heroes' Cryptstalker Headpiece,300,80,4,1,4,3,3,113,7,108,5,72,32,68,36,46,0,0,0,0,0,0,0,0,0,0
2039523,Heroes' Raiments of Faith,300,80,4,20,4,1,7,88,5,105,6,93,31,66,0,0,0,0,0,0,0,0,0,0,0,0
2040565,Valorous Scourgeborne Faceguard,313,80,4,1,4,4,4,124,7,196,12,91,37,54,14,77,0,0,0,0,0,0,0,0,0,0
2040715,Sigil of Haunted Dreams,300,80,4,28,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045210,Sen'jin Beakblade Longrifle,300,80,4,26,2,3,3,49,36,34,38,43,7,48,0,0,0,0,0,0,0,0,0,0,0,0
2040694,Jorach's Crocolisk Skin Belt,300,80,4,6,4,2,3,62,7,94,32,71,37,58,0,0,0,0,0,0,0,0,0,0,0,0
2040518,Valorous Earthshatter Shoulderpads,313,80,4,3,4,3,7,94,5,88,32,77,31,57,0,0,0,0,0,0,0,0,0,0,0,0
2045077,Dagger of the Rising Moon,300,80,4,13,2,15,38,120,7,66,31,58,32,34,0,0,0,0,0,0,0,0,0,0,0,0
2040449,Valorous Robe of Faith,313,80,4,20,4,1,7,116,5,103,6,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040419,Valorous Frostfire Shoulderpads,313,80,4,3,4,1,7,88,5,88,32,82,36,54,0,0,0,0,0,0,0,0,0,0,0,0
2039583,Heroes' Earthshatter Headpiece,300,80,4,1,4,3,7,102,5,100,36,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040682,Sundial of the Exiled,300,80,4,12,4,0,32,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039545,Heroes' Dreamwalker Cover,300,80,4,1,4,2,7,103,5,100,32,82,31,55,0,0,0,0,0,0,0,0,0,0,0,0
2039590,Heroes' Earthshatter Spaulders,300,80,4,3,4,3,7,75,5,79,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040267,Totem of Hex,313,80,4,28,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039628,Heroes' Redemption Headpiece,300,80,4,1,4,4,7,103,5,106,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039611,Heroes' Dreadnaught Breastplate,300,80,4,5,4,4,4,125,7,172,12,72,13,72,15,58,0,0,0,0,0,0,0,0,0,0
2040421,Valorous Plagueheart Circlet,313,80,4,1,4,1,7,153,5,91,6,77,36,86,0,0,0,0,0,0,0,0,0,0,0,0
2040500,Valorous Bonescythe Legplates,313,80,4,7,4,2,3,142,7,136,36,89,31,65,0,0,0,0,0,0,0,0,0,0,0,0
2040712,Idol of Steadfast Renewal,300,80,4,28,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040741,Cuffs of the Shadow Ascendant,313,80,4,9,4,1,7,65,5,66,36,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045214,Scalpel of the Royal Apothecary,300,80,4,21,2,15,5,58,6,58,7,43,36,46,45,632,0,0,0,0,0,0,0,0,0,0
2039612,Heroes' Dreadnaught Legguards,300,80,4,7,4,4,4,137,7,172,12,74,14,63,13,48,0,0,0,0,0,0,0,0,0,0
2040705,Libram of Renewal,300,80,4,28,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040737,Pigmented Clan Bindings,313,80,4,9,4,3,7,85,5,58,36,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040547,Valorous Dreadnaught Legguards,313,80,4,7,4,4,4,155,7,196,12,82,14,69,13,66,0,0,0,0,0,0,0,0,0,0
2045689,Inscribed Loop of the Kirin Tor,313,80,4,11,4,0,45,102,7,85,5,58,6,58,43,29,0,0,0,0,0,0,0,0,0,0
2040523,Valorous Earthshatter Chestguard,313,80,4,5,4,3,3,103,7,134,5,69,31,89,37,68,0,0,0,0,0,0,0,0,0,0
2039640,Heroes' Redemption Faceguard,300,80,4,1,4,4,4,111,7,172,12,66,37,46,0,0,0,0,0,0,0,0,0,0,0,0
2040576,Valorous Redemption Helm,313,80,4,1,4,4,4,131,7,103,36,145,31,62,0,0,0,0,0,0,0,0,0,0,0,0
2039606,Heroes' Dreadnaught Battleplate,300,80,4,5,4,4,4,113,7,139,32,125,31,80,0,0,0,0,0,0,0,0,0,0,0,0
2040423,Valorous Plagueheart Robe,313,80,4,20,4,1,7,153,5,103,6,102,31,79,0,0,0,0,0,0,0,0,0,0,0,0
2039625,Heroes' Scourgeborne Faceguard,300,80,4,1,4,4,4,111,7,172,12,75,37,46,14,66,0,0,0,0,0,0,0,0,0,0
2040559,Valorous Scourgeborne Chestguard,313,80,4,5,4,4,4,142,7,196,12,82,14,82,13,69,0,0,0,0,0,0,0,0,0,0
2039588,Heroes' Earthshatter Tunic,300,80,4,5,4,3,7,97,5,110,36,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040503,Valorous Cryptstalker Tunic,313,80,4,5,4,3,3,103,7,134,5,69,36,89,31,68,0,0,0,0,0,0,0,0,0,0
2039553,Heroes' Dreamwalker Headguard,300,80,4,1,4,2,3,93,7,139,32,68,44,66,0,0,0,0,0,0,0,0,0,0,0,0
2040460,Valorous Dreamwalker Handguards,313,80,4,10,4,2,7,85,5,88,6,85,36,54,0,0,0,0,0,0,0,0,0,0,0,0
2040424,Valorous Plagueheart Shoulderpads,313,80,4,3,4,1,7,113,5,77,36,85,31,54,45,120,0,0,0,0,0,0,0,0,0,0
2040699,Handbook of Obscure Remedies,300,80,4,23,4,0,7,66,5,55,6,58,36,38,0,0,0,0,0,0,0,0,0,0,0,0
2039597,Heroes' Earthshatter Chestguard,300,80,4,5,4,3,3,93,7,117,5,62,31,79,37,62,0,0,0,0,0,0,0,0,0,0
2040719,Band of Channeled Magic,313,80,4,11,4,0,7,65,5,63,6,49,36,66,0,0,0,0,0,0,0,0,0,0,0,0
2039592,Heroes' Earthshatter Hauberk,300,80,4,5,4,3,7,103,5,106,36,77,32,82,0,0,0,0,0,0,0,0,0,0,0,0
2039626,Heroes' Scourgeborne Legguards,300,80,4,7,4,4,4,111,7,172,12,68,13,99,31,46,0,0,0,0,0,0,0,0,0,0
2039519,Heroes' Gloves of Faith,300,80,4,10,4,1,7,69,5,74,6,75,32,54,0,0,0,0,0,0,0,0,0,0,0,0
2039618,Heroes' Scourgeborne Gauntlets,300,80,4,10,4,4,4,88,7,153,32,71,31,51,0,0,0,0,0,0,0,0,0,0,0,0
2039560,Heroes' Bonescythe Gauntlets,300,80,4,10,4,2,3,89,7,83,32,68,31,51,38,158,0,0,0,0,0,0,0,0,0,0
2040529,Valorous Dreadnaught Legplates,313,80,4,7,4,4,4,131,7,155,32,130,37,102,0,0,0,0,0,0,0,0,0,0,0,0
2040191,Libram of Radiance,313,80,4,28,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039613,Heroes' Dreadnaught Pauldrons,300,80,4,3,4,4,4,89,7,134,12,49,13,68,15,38,0,0,0,0,0,0,0,0,0,0
2040738,Wristwraps of the Cutthroat,313,80,4,9,4,2,3,58,7,85,36,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045076,Teldrassil Protector,300,80,4,13,2,0,4,44,7,66,12,68,14,29,0,0,0,0,0,0,0,0,0,0,0,0
2040581,Valorous Redemption Faceguard,313,80,4,1,4,4,4,124,7,196,12,102,37,54,0,0,0,0,0,0,0,0,0,0,0,0
2040696,Plush Sash of Guzbah,300,80,4,6,4,1,7,75,5,80,36,65,31,51,0,0,0,0,0,0,0,0,0,0,0,0
2040710,Totem of Splintering,300,80,4,28,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040716,Lillehoff's Winged Blades,300,80,4,25,2,16,3,29,7,41,32,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040509,Valorous Earthshatter Handguards,313,80,4,10,4,3,7,99,5,85,32,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039593,Heroes' Earthshatter Gloves,300,80,4,10,4,3,7,88,5,74,31,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040724,Cloak of Kea Feathers,313,80,4,16,4,1,7,65,5,66,36,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040584,Valorous Redemption Shoulderguards,313,80,4,3,4,4,4,105,7,155,12,62,13,57,14,60,0,0,0,0,0,0,0,0,0,0
2039499,Heroes' Plagueheart Shoulderpads,300,80,4,3,4,1,7,102,5,68,36,74,31,46,0,0,0,0,0,0,0,0,0,0,0,0
2040746,Pack-Ice Striders,313,80,4,8,4,3,3,75,7,116,5,62,31,60,0,0,0,0,0,0,0,0,0,0,0,0
2040465,Valorous Dreamwalker Spaulders,313,80,4,3,4,2,7,85,5,85,6,88,32,54,0,0,0,0,0,0,0,0,0,0,0,0
2040556,Valorous Scourgeborne Legplates,313,80,4,7,4,4,4,131,7,155,32,130,36,102,0,0,0,0,0,0,0,0,0,0,0,0
2040502,Valorous Bonescythe Pauldrons,313,80,4,3,4,2,3,85,7,113,32,89,36,66,0,0,0,0,0,0,0,0,0,0,0,0
2039609,Heroes' Dreadnaught Gauntlets,300,80,4,10,4,4,4,88,7,153,37,71,31,51,0,0,0,0,0,0,0,0,0,0,0,0
2039531,Heroes' Dreamwalker Headpiece,300,80,4,1,4,2,7,103,5,106,6,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2039631,Heroes' Redemption Spaulders,300,80,4,3,4,4,7,75,5,80,32,74,36,48,0,0,0,0,0,0,0,0,0,0,0,0
2040471,Valorous Dreamwalker Raiments,313,80,4,20,4,2,3,131,7,158,37,62,32,88,0,0,0,0,0,0,0,0,0,0,0,0
2040454,Valorous Handwraps of Faith,313,80,4,10,4,1,7,80,5,82,32,86,36,63,0,0,0,0,0,0,0,0,0,0,0,0
2039539,Heroes' Dreamwalker Leggings,300,80,4,7,4,2,7,103,5,100,6,105,32,55,0,0,0,0,0,0,0,0,0,0,0,0
2040493,Valorous Dreamwalker Legguards,313,80,4,7,4,2,3,131,7,158,32,85,37,65,0,0,0,0,0,0,0,0,0,0,0,0
2040578,Valorous Redemption Shoulderplates,313,80,4,3,4,4,4,116,7,122,32,91,31,66,0,0,0,0,0,0,0,0,0,0,0,0
2040466,Valorous Dreamwalker Gloves,313,80,4,10,4,2,7,88,5,88,6,54,32,82,0,0,0,0,0,0,0,0,0,0,0,0
2039495,Heroes' Frostfire Gloves,300,80,4,10,4,1,7,88,5,79,32,74,31,51,0,0,0,0,0,0,0,0,0,0,0,0
2040458,Valorous Raiments of Faith,313,80,4,20,4,1,7,116,5,119,6,102,31,77,0,0,0,0,0,0,0,0,0,0,0,0
2045691,Inscribed Signet of the Kirin Tor,313,80,4,11,4,0,45,102,7,85,5,58,32,57,36,58,0,0,0,0,0,0,0,0,0,0
2040707,Libram of Obstruction,300,80,4,28,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
