entry,name,ItemLevel,RequiredLevel,Quality,InventoryType,class,subclass,stat_type1,stat_value1,stat_type2,stat_value2,stat_type3,stat_value3,stat_type4,stat_value4,stat_type5,stat_value5,stat_type6,stat_value6,stat_type7,stat_value7,stat_type8,stat_value8,stat_type9,stat_value9,stat_type10,stat_value10
2048498,Koltira's Helmet of Triumph,345,85,4,1,4,4,4,203,7,240,32,127,37,114,0,0,0,0,0,0,0,0,0,0,0,0
2048081,Velen's Mantle of Triumph,345,85,4,3,4,1,45,168,7,119,5,119,6,103,32,91,0,0,0,0,0,0,0,0,0,0
2048610,Turalyon's Legplates of Triumph,345,85,4,7,4,4,4,215,7,240,32,127,37,127,0,0,0,0,0,0,0,0,0,0,0,0
2048197,Runetotem's Shoulderpads of Triumph,345,85,4,3,4,2,38,209,3,144,7,156,36,103,44,91,0,0,0,0,0,0,0,0,0,0
2048561,Koltira's Legguards of Conquest,332,85,4,7,4,4,4,142,7,243,12,88,14,82,13,97,0,0,0,0,0,0,0,0,0,0
2048637,Turalyon's Shoulderguards of Triumph,345,85,4,3,4,4,4,119,7,215,12,103,13,103,37,66,0,0,0,0,0,0,0,0,0,0
2048655,Liadrin's Legguards of Conquest,332,85,4,7,4,4,4,142,7,243,12,124,31,69,0,0,0,0,0,0,0,0,0,0,0,0
2047665,Totem of Calming Tides,345,85,4,28,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048190,Runetotem's Legguards of Conquest,332,85,4,7,4,2,38,199,3,161,7,186,32,124,31,99,0,0,0,0,0,0,0,0,0,0
2048152,Runetotem's Handguards of Triumph,345,85,4,10,4,2,45,168,7,119,5,119,6,103,32,91,0,0,0,0,0,0,0,0,0,0
2047985,Velen's Leggings of Triumph,345,85,4,7,4,1,45,217,7,159,5,159,6,127,36,127,0,0,0,0,0,0,0,0,0,0
2048459,Hellscream's Legguards of Conquest,332,85,4,7,4,4,4,142,7,243,12,124,31,69,0,0,0,0,0,0,0,0,0,0,0,0
2047659,Crimson Star,345,85,4,25,2,16,38,88,3,66,7,66,37,43,44,43,0,0,0,0,0,0,0,0,0,0
2048161,Malfurion's Mantle of Conquest,332,85,4,3,4,2,45,148,7,105,5,105,6,93,32,80,0,0,0,0,0,0,0,0,0,0
2048657,Liadrin's Breastplate of Triumph,345,85,4,5,4,4,4,210,7,279,12,110,14,97,13,97,0,0,0,0,0,0,0,0,0,0
2048130,Malfurion's Leggings of Conquest,332,85,4,7,4,2,45,189,7,142,5,142,6,111,36,111,0,0,0,0,0,0,0,0,0,0
2048319,Nobundo's Kilt of Triumph,345,85,4,7,4,3,45,217,7,159,5,159,32,114,31,139,0,0,0,0,0,0,0,0,0,0
2048094,Zabra's Pants of Triumph,345,85,4,7,4,1,45,217,7,159,5,159,36,114,31,139,0,0,0,0,0,0,0,0,0,0
2047677,Faceplate of the Honorbound,345,85,4,1,4,4,4,159,7,260,12,127,37,106,13,114,0,0,0,0,0,0,0,0,0,0
2047658,Brimstone Igniter,345,85,4,26,2,19,45,77,7,49,5,49,6,43,31,43,0,0,0,0,0,0,0,0,0,0
2047675,Faceplate of Thunderous Rampage,345,85,4,1,4,4,4,203,7,240,32,114,44,127,0,0,0,0,0,0,0,0,0,0,0,0
2047704,Epaulets of the Devourer,345,85,4,3,4,3,38,184,3,144,7,124,5,82,32,103,44,82,0,0,0,0,0,0,0,0
2048497,Koltira's Legplates of Triumph,345,85,4,7,4,4,4,215,7,240,32,127,44,127,0,0,0,0,0,0,0,0,0,0,0,0
2048099,Zabra's Pants of Conquest,332,85,4,7,4,1,45,189,7,142,5,142,36,99,31,124,0,0,0,0,0,0,0,0,0,0
2048350,Nobundo's Shoulderguards of Triumph,345,85,4,3,4,3,38,288,3,91,7,124,5,82,32,103,31,82,0,0,0,0,0,0,0,0
2047707,Mantle of the Groundbreaker,345,85,4,3,4,3,45,168,7,119,5,119,32,91,43,52,0,0,0,0,0,0,0,0,0,0
2048504,Koltira's Legplates of Conquest,332,85,4,7,4,4,4,187,7,212,32,111,44,111,0,0,0,0,0,0,0,0,0,0,0,0
2047702,Pauldrons of the Cavalier,345,85,4,3,4,4,45,168,7,119,5,119,32,91,36,103,0,0,0,0,0,0,0,0,0,0
2048474,Thassarian's Battleplate of Conquest,332,85,4,5,4,4,4,187,7,212,32,111,36,111,0,0,0,0,0,0,0,0,0,0,0,0
2047798,Gul'dan's Shoulderpads of Conquest,332,85,4,3,4,1,45,148,7,105,5,105,6,80,32,93,0,0,0,0,0,0,0,0,0,0
2048636,Turalyon's Shoulderguards of Conquest,332,85,4,3,4,4,4,105,7,189,12,93,13,93,37,57,0,0,0,0,0,0,0,0,0,0
2047771,Sunstrider's Hood of Triumph,345,85,4,1,4,1,45,203,7,159,5,159,36,127,31,114,0,0,0,0,0,0,0,0,0,0
