entry,name,ItemLevel,RequiredLevel,Quality,InventoryType,class,subclass,stat_type1,stat_value1,stat_type2,stat_value2,stat_type3,stat_value3,stat_type4,stat_value4,stat_type5,stat_value5,stat_type6,stat_value6,stat_type7,stat_value7,stat_type8,stat_value8,stat_type9,stat_value9,stat_type10,stat_value10
2050825,Lasherweave Legguards,351,85,4,7,4,2,38,246,3,223,7,223,44,148,37,124,0,0,0,0,0,0,0,0,0,0
2050765,Crimson Acolyte Hood,351,85,4,1,4,1,45,217,7,168,5,168,6,124,32,136,0,0,0,0,0,0,0,0,0,0
2050832,Frost Witch's Faceguard,351,85,4,1,4,3,38,246,3,210,7,175,5,117,32,136,36,93,0,0,0,0,0,0,0,0
2048231,VanCleef's Gauntlets of Triumph,358,85,4,10,4,2,38,209,3,176,7,176,32,117,31,105,0,0,0,0,0,0,0,0,0,0
2048291,Nobundo's Legguards of Triumph,358,85,4,7,4,3,45,248,7,179,5,179,32,148,43,71,0,0,0,0,0,0,0,0,0,0
2048548,Koltira's Chestguard of Triumph,358,85,4,5,4,4,4,179,7,319,12,124,14,114,13,108,0,0,0,0,0,0,0,0,0,0
2047760,Khadgar's Leggings of Triumph,358,85,4,7,4,1,45,248,7,179,5,179,6,133,32,158,0,0,0,0,0,0,0,0,0,0
2050082,Ymirjar Lord's Shoulderplates,351,85,4,3,4,4,4,176,7,189,32,110,44,97,0,0,0,0,0,0,0,0,0,0,0,0
2048146,Runetotem's Robe of Triumph,358,85,4,20,4,2,45,248,7,179,5,179,6,145,32,145,0,0,0,0,0,0,0,0,0,0
2048262,Windrunner's Headpiece of Triumph,358,85,4,1,4,3,38,266,3,212,7,187,5,124,32,158,44,99,0,0,0,0,0,0,0,0
2048230,VanCleef's Helmet of Triumph,358,85,4,1,4,2,38,266,3,212,7,237,32,158,37,133,0,0,0,0,0,0,0,0,0,0
2048357,Thrall's Grips of Triumph,358,85,4,10,4,3,38,327,3,117,7,139,5,93,37,105,32,93,0,0,0,0,0,0,0,0
2050824,Lasherweave Shoulderpads,351,85,4,3,4,2,38,195,3,165,7,165,32,110,44,97,0,0,0,0,0,0,0,0,0,0
2048086,Velen's Handwraps of Triumph,358,85,4,10,4,1,45,192,7,133,5,133,31,105,32,117,0,0,0,0,0,0,0,0,0,0
2050823,Lasherweave Vestment,351,85,4,20,4,2,45,230,7,168,5,168,32,148,36,124,0,0,0,0,0,0,0,0,0,0
2048037,Velen's Gloves of Triumph,358,85,4,10,4,1,45,192,7,133,5,133,6,105,36,117,0,0,0,0,0,0,0,0,0,0
2048433,Wrynn's Greathelm of Triumph,358,85,4,1,4,4,4,237,7,300,12,111,13,99,0,0,0,0,0,0,0,0,0,0,0,0
2050325,Lightsworn Legplates,351,85,4,7,4,4,4,229,7,254,32,148,37,124,0,0,0,0,0,0,0,0,0,0,0,0
2048360,Thrall's Shoulderguards of Triumph,358,85,4,3,4,3,38,327,3,105,7,139,5,93,32,117,31,93,0,0,0,0,0,0,0,0
2048294,Nobundo's Tunic of Triumph,358,85,4,5,4,3,45,248,7,179,5,179,36,145,32,145,0,0,0,0,0,0,0,0,0,0
