entry,name,ItemLevel,RequiredLevel,Quality,InventoryType,class,subclass,stat_type1,stat_value1,stat_type2,stat_value2,stat_type3,stat_value3,stat_type4,stat_value4,stat_type5,stat_value5,stat_type6,stat_value6,stat_type7,stat_value7,stat_type8,stat_value8,stat_type9,stat_value9,stat_type10,stat_value10
2046190,Conqueror's Shoulderpads of Sanctification,326,83,4,3,4,1,7,100,5,100,6,63,36,96,45,139,0,0,0,0,0,0,0,0,0,0
2046188,Conqueror's Gloves of Sanctification,326,83,4,10,4,1,7,93,5,86,6,93,36,75,45,155,0,0,0,0,0,0,0,0,0,0
2045363,Valorous Scourgestalker Spaulders,319,83,4,3,4,3,3,93,7,72,5,63,36,74,31,62,38,195,0,0,0,0,0,0,0,0
2046133,Conqueror's Kirin Tor Leggings,326,83,4,7,4,1,7,117,5,127,32,114,31,102,45,190,0,0,0,0,0,0,0,0,0,0
2045367,Valorous Kirin Tor Leggings,319,83,4,7,4,1,7,106,5,117,32,105,31,96,45,178,0,0,0,0,0,0,0,0,0,0
2045833,Bladebreaker Gauntlets,326,83,4,10,4,4,4,134,7,192,32,93,44,75,0,0,0,0,0,0,0,0,0,0,0,0
2045429,Valorous Siegebreaker Battleplate,319,83,4,5,4,4,4,162,7,186,32,83,44,105,0,0,0,0,0,0,0,0,0,0,0,0
2045405,Valorous Worldbreaker Tunic,319,83,4,20,4,3,45,162,7,122,5,125,32,85,43,54,0,0,0,0,0,0,0,0,0,0
2046199,Conqueror's Worldbreaker Handguards,326,83,4,10,4,3,45,139,7,97,5,99,32,74,36,88,0,0,0,0,0,0,0,0,0,0
2046165,Conqueror's Mantle of Sanctification,326,83,4,3,4,1,7,82,5,100,32,96,6,75,45,139,0,0,0,0,0,0,0,0,0,0
2046137,Conqueror's Deathbringer Robe,326,83,4,20,4,1,7,128,5,117,32,102,31,113,45,192,0,0,0,0,0,0,0,0,0,0
2045411,Valorous Worldbreaker Hauberk,319,83,4,20,4,3,45,162,7,122,5,125,31,85,36,108,0,0,0,0,0,0,0,0,0,0
2045839,Grips of the Secret Grove,326,83,4,10,4,2,45,155,7,113,5,93,6,93,32,75,0,0,0,0,0,0,0,0,0,0
2045361,Valorous Scourgestalker Headpiece,319,83,4,1,4,3,3,117,7,116,5,69,44,71,32,86,38,279,0,0,0,0,0,0,0,0
2046119,Conqueror's Darkruned Handguards,326,83,4,10,4,4,4,96,7,198,12,77,14,86,37,60,0,0,0,0,0,0,0,0,0,0
2046146,Conqueror's Siegebreaker Battleplate,326,83,4,5,4,4,4,175,7,199,32,89,44,114,0,0,0,0,0,0,0,0,0,0,0,0
2045422,Valorous Deathbringer Shoulderpads,319,83,4,3,4,1,7,97,5,88,36,58,32,82,45,142,0,0,0,0,0,0,0,0,0,0
2046202,Conqueror's Worldbreaker Legguards,326,83,4,7,4,3,45,178,7,131,5,133,32,93,43,58,0,0,0,0,0,0,0,0,0,0
2045393,Valorous Mantle of Sanctification,319,83,4,3,4,1,7,74,5,93,32,88,6,71,45,128,0,0,0,0,0,0,0,0,0,0
2045404,Valorous Worldbreaker Spaulders,319,83,4,3,4,3,45,128,7,89,5,93,36,82,43,35,0,0,0,0,0,0,0,0,0,0
2046126,Conqueror's Terrorblade Legplates,326,83,4,7,4,2,3,156,7,139,36,111,32,102,38,251,0,0,0,0,0,0,0,0,0,0
2046158,Conqueror's Nightsong Handgrips,326,83,4,10,4,2,3,131,7,144,44,66,36,51,38,201,0,0,0,0,0,0,0,0,0,0
2046143,Conqueror's Scourgestalker Headpiece,326,83,4,1,4,3,3,127,7,125,5,75,44,77,32,91,38,303,0,0,0,0,0,0,0,0
2046189,Conqueror's Nightsong Gloves,326,83,4,10,4,2,45,139,7,97,5,99,6,74,31,88,0,0,0,0,0,0,0,0,0,0
2046162,Conqueror's Siegebreaker Breastplate,326,83,4,5,4,4,4,175,7,227,12,79,14,93,0,0,0,0,0,0,0,0,0,0,0,0
2045399,Valorous Terrorblade Legplates,319,83,4,7,4,2,3,145,7,128,36,102,32,96,38,235,0,0,0,0,0,0,0,0,0,0
2045823,Frozen Tear of Elune,326,83,4,2,4,0,45,114,7,97,5,66,32,63,43,32,0,0,0,0,0,0,0,0,0,0
2045353,Valorous Nightsong Trousers,319,83,4,7,4,2,45,162,7,122,5,125,32,110,31,83,0,0,0,0,0,0,0,0,0,0
2045410,Valorous Worldbreaker Shoulderpads,319,83,4,3,4,3,45,128,7,89,5,93,32,82,36,69,0,0,0,0,0,0,0,0,0,0
2045821,Shard of the Crystal Forest,326,83,4,2,4,0,4,65,7,145,12,63,13,66,31,65,0,0,0,0,0,0,0,0,0,0
